link,rank,section,run_time,pub_time,publication,headline,article_headline
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,1,top,2026-03-11 17:50:13,,Fox News,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement
https://apple.news/AhrbSP5RIRhilqrigBeB0cg,2,top,2026-03-11 17:50:13,2026-03-11 17:20:14,The Wall Street Journal,Veterans Affairs to pursue legal guardianship of homeless vets,Veterans Affairs to pursue legal guardianship of homeless vets
https://apple.news/AQWYpcniVS_ax-QJ_C7w4wA,3,top,2026-03-11 17:50:13,2026-03-11 17:20:41,NPR,DOJ quietly begins restoring gun rights to some people with felony convictions,DOJ quietly begins restoring gun rights to some people with felony convictions
https://apple.news/A95ovU9jWSb2bcutx-5BWEw,4,top,2026-03-11 17:50:13,2026-03-11 17:21:08,The Associated Press,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years
https://apple.news/AQWYpcniVS_ax-QJ_C7w4wA,5,top,2026-03-11 17:50:13,2026-03-11 17:20:41,NPR,DOJ quietly begins restoring gun rights to some people with felony convictions,DOJ quietly begins restoring gun rights to some people with felony convictions
,plus,top,2026-03-11 17:50:13,2026-03-11 17:20:08,National Geographic,"GLP-1s don’t just quell addiction cravings. They stop them from forming, studies show.",
,plus,top,2026-03-11 17:50:13,2026-03-11 17:01:35,Los Angeles Times,"Kanye West ordered to pay former contractor $140,000 over Malibu mansion lawsuit",
,plus,top,2026-03-11 17:50:13,,Los Angeles Times,"400 million barrels of oil to be released from strategic reserves as Iran targets commercial ships, Apple News Plus",
,plus,top,2026-03-11 17:50:13,,California DACA recipient sues Trump administration over her deportation,Apple News Plus,
,1,reader_favorites,2026-03-11 17:50:13,,BBC Wildlife Magazine,A massive oceanic creature has been caught on film in the South China Sea,
,2,reader_favorites,2026-03-11 17:50:13,,BBC Science Focus Magazine,Exercise isn’t the key to burning fat. Here’s what is.,
,3,reader_favorites,2026-03-11 17:50:13,,Vogue,"She drank 2.5 liters of water a day. Here’s how it changed her skin and body., Daisy Jones",
https://apple.news/ALgvc_yLaTO62aV4BfTI88g,1,trending,2026-03-11 17:50:13,2026-03-11 06:55:23,,"Cancer doctor says Americans should eat more of 5 key protective foods, 11 hours ago, Andrea Margolis",Cancer doctor says Americans should eat more of 5 key protective foods
,2,trending,2026-03-11 17:50:13,2026-03-11 10:55:57,,"Teen charged in teacher’s death from prank gone wrong speaks out, 7 hours ago, Faith Abubey and GMA Team",Teen charged in teacher’s death from prank gone wrong speaks out
,3,trending,2026-03-11 17:50:13,,,"The Slate Truck Is an EV for the Rest of Us, Apple News Plus",
https://apple.news/AkCaB6GHpSwS0F9eBxJNtAg,4,trending,2026-03-11 17:50:13,2026-03-11 09:56:38,,"Toyota recalls over 550K cars. See affected models., 8 hours ago",Toyota recalls over 550K cars. See affected models.
https://apple.news/Amt_guG2EQ7GJ6gR9obXYyA,1,top,2026-03-11 18:00:13,2026-03-11 17:20:14,The Guardian,"Iran escalates attacks on infrastructure and transport networks across the Gulf, MORE DETAILS",Iran escalates attacks on infrastructure and transport networks across the Gulf
https://apple.news/AtCapPy59QF2Jz8wgfQ_5Cg,2,top,2026-03-11 18:00:13,,Fox News,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement,Texas GOP senator reverses on filibuster stance to pass SAVE Act as Trump weighs endorsement
,plus,top,2026-03-11 18:00:13,2026-03-11 17:21:14,The Wall Street Journal,Veterans Affairs to pursue legal guardianship of homeless vets,
,plus,top,2026-03-11 18:00:13,2026-03-11 17:20:29,The Wall Street Journal,Veterans Affairs to pursue legal guardianship of homeless vets,Veterans Affairs to pursue legal guardianship of homeless vets
https://apple.news/AQWYpcniVS_ax-QJ_C7w4wA,3,top,2026-03-11 18:00:13,2026-03-11 17:19:43,NPR,DOJ quietly begins restoring gun rights to some people with felony convictions,DOJ quietly begins restoring gun rights to some people with felony convictions
https://apple.news/A95ovU9jWSb2bcutx-5BWEw,4,top,2026-03-11 18:00:13,2026-03-11 17:20:10,The Associated Press,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years,Lords a-leaving: Britain is ejecting hereditary nobles from Parliament after 700 years
https://apple.news/AQWYpcniVS_ax-QJ_C7w4wA,5,top,2026-03-11 18:00:13,2026-03-11 17:19:42,NPR,DOJ quietly begins restoring gun rights to some people with felony convictions,DOJ quietly begins restoring gun rights to some people with felony convictions
,plus,top,2026-03-11 18:00:13,2026-03-11 17:20:10,National Geographic,"GLP-1s don’t just quell addiction cravings. They stop them from forming, studies show.",
,plus,top,2026-03-11 18:00:13,2026-03-11 06:03:43,People,Chelsea Handler Hard Launches Her 'Hot' New Relationship and Reveals the Unique Way They Met,
,plus,top,2026-03-11 18:00:13,2026-03-11 17:41:01,The Hollywood Reporter,Putting the ‘Cars’ in Oscars,
,1,reader_favorites,2026-03-11 18:00:13,,Stylist,"Five nearly universal truths about affairs, according to a psychologist, Amy Beecham",
,2,reader_favorites,2026-03-11 18:00:13,,ELLE,"Leggings are out. Here’s what’s replacing them. , Alexis Bennett Parker",
,3,reader_favorites,2026-03-11 18:00:13,,The Wall Street Journal,"Five subtle signs you’re in a wealthy person’s home, Faran Krentcil",
,4,reader_favorites,2026-03-11 18:00:13,,Serious Eats,"35m, Cheesy Lasagna Beans, RECIPE",
,plus,top,2026-03-11 18:00:13,2026-03-11 17:57:13,The Athletic,The Iranian women footballers who chose defection over returning to a war zone,
